freq,ref_area,indicator,unit_mult,base_year,time_format,time_period,obs_value
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1990-Q1,71.2274338877483
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1990-Q2,72.0539223768686
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1990-Q3,73.1116653387822
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1990-Q4,73.2006230868186
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1991-Q1,72.8921623977526
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1991-Q2,73.1244509136494
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1991-Q3,73.9615347562774
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1991-Q4,73.9840676761628
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1992-Q1,73.572332018516
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1992-Q2,73.9932469177965
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1992-Q3,74.3561452328494
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1992-Q4,74.654308691584
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1993-Q1,75.1283229119199
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1993-Q2,75.4992682555724
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1993-Q3,75.5534344299056
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1993-Q4,75.6192535606822
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1994-Q1,75.5467078975416
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1994-Q2,76.4783992606303
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1994-Q3,77.3279695780929
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1994-Q4,77.9372925944128
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1995-Q1,79.4767423398411
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1995-Q2,79.9304150603394
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1995-Q3,80.2894028800703
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1995-Q4,80.5762153591335
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1996-Q1,79.8029406261627
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1996-Q2,79.828363261314
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1996-Q3,79.9213373824024
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1996-Q4,80.4687870682595
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1997-Q1,80.799203797236
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1997-Q2,81.3150235780859
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1997-Q3,82.0164404844261
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1997-Q4,82.5130443854442
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1998-Q1,84.0283803213571
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1998-Q2,84.2653468082372
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1998-Q3,84.4195965929938
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1998-Q4,84.1337609960468
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1999-Q1,84.3893575748011
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1999-Q2,84.6814180577225
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1999-Q3,85.2733711117326
Q,FI,NGDP_D_SA_IX,0,2010,P3M,1999-Q4,85.6298106751203
Q,FI,NGDP_D_SA_IX,0,2010,P3M,2000-Q1,85.1298380709056
Q,FI,NGDP_D_SA_IX,0,2010,P3M,2000-Q2,86.0222866018837
Q,FI,NGDP_D_SA_IX,0,2010,P3M,2000-Q3,86.7347911160138
Q,FI,NGDP_D_SA_IX,0,2010,P3M,2000-Q4,87.6224848198715
Q,FI,NGDP_D_SA_IX,0,2010,P3M,2001-Q1,88.9054839914731
Q,FI,NGDP_D_SA_IX,0,2010,P3M,2001-Q2,89.3201967644101
Q,FI,NGDP_D_SA_IX,0,2010,P3M,2001-Q3,89.3850251573327
Q,FI,NGDP_D_SA_IX,0,2010,P3M,2001-Q4,89.3608914381943
Q,FI,NGDP_D_SA_IX,0,2010,P3M,2002-Q1,89.9066548854924
Q,FI,NGDP_D_SA_IX,0,2010,P3M,2002-Q2,90.1638850310375
Q,FI,NGDP_D_SA_IX,0,2010,P3M,2002-Q3,90.0178665211044
Q,FI,NGDP_D_SA_IX,0,2010,P3M,2002-Q4,90.2482489254643
Q,FI,NGDP_D_SA_IX,0,2010,P3M,2003-Q1,90.542093874361
Q,FI,NGDP_D_SA_IX,0,2010,P3M,2003-Q2,90.0866887822767
Q,FI,NGDP_D_SA_IX,0,2010,P3M,2003-Q3,89.8730603777395
Q,FI,NGDP_D_SA_IX,0,2010,P3M,2003-Q4,90.5294320607143
Q,FI,NGDP_D_SA_IX,0,2010,P3M,2004-Q1,90.6976123456213
Q,FI,NGDP_D_SA_IX,0,2010,P3M,2004-Q2,90.7703647560316
Q,FI,NGDP_D_SA_IX,0,2010,P3M,2004-Q3,90.7247092134121
Q,FI,NGDP_D_SA_IX,0,2010,P3M,2004-Q4,91.0007537923562
Q,FI,NGDP_D_SA_IX,0,2010,P3M,2005-Q1,91.2599149534874
Q,FI,NGDP_D_SA_IX,0,2010,P3M,2005-Q2,91.6182767692016
Q,FI,NGDP_D_SA_IX,0,2010,P3M,2005-Q3,91.481803066663
Q,FI,NGDP_D_SA_IX,0,2010,P3M,2005-Q4,92.2132997146625
Q,FI,NGDP_D_SA_IX,0,2010,P3M,2006-Q1,91.5765406888507
Q,FI,NGDP_D_SA_IX,0,2010,P3M,2006-Q2,92.1461619095854
