database_id,description
BOP_2017M06,"Balance of Payments (BOP), 2017 M06"
BOP_2020M3,"Balance of Payments (BOP), 2020 M03"
BOP_2017M11,"Balance of Payments (BOP), 2017 M11"
DOT_2020Q1,"Direction of Trade Statistics (DOTS), 2020 Q1"
GFSMAB2016,"Government Finance Statistics Yearbook (GFSY 2016), Main Aggregates and Balances"
BOP_2019M12,"Balance of Payments (BOP), 2019 M12"
GFSYFALCS2014,"Government Finance Statistics Yearbook (GFSY 2014), Financial Assets and Liabilities by Counterpart Sector"
GFSE2016,"Government Finance Statistics Yearbook (GFSY 2016), Expense"
FM201510,Fiscal Monitor (FM) October 2015
GFSIBS2016,"Government Finance Statistics Yearbook (GFSY 2016), Integrated Balance Sheet (Stock Positions and Flows in Assets and Liabilities)"
IFS_2019M01,"International Financial Statistics (IFS), 2019 M01"
DOT_2018Q3,"Direction of Trade Statistics (DOTS), 2018 Q3"
FM201604,Fiscal Monitor (FM) April 2016
WHDREO201504,Western Hemisphere Regional Economic Outlook (WHDREO) April 2015
DOT_2018Q2,"Direction of Trade Statistics (DOTS), 2018 Q2"
DOT_2019Q1,"Direction of Trade Statistics (DOTS), 2019 Q1"
GFSYIBS2014,"Government Finance Statistics Yearbook (GFSY 2014), Integrated Balance Sheet (Stock Positions and Flows in Assets and Liabilities)"
FM201410,Fiscal Monitor (FM) October 2014
APDREO201910,Asia and Pacific Regional Economic Outlook (APDREO) October 2019
GFSSSUC2016,"Government Finance Statistics Yearbook (GFSY 2016), Statement of Sources and Uses of Cash"
AFRREO201610,Sub-Saharan Africa Regional Economic Outlook (AFRREO) October 2016
BOP_2018M04,"Balance of Payments (BOP), 2018 M04"
BOP_2018M03,"Balance of Payments (BOP), 2018 M03"
FM201904,Fiscal Monitor (FM) April 2019
IFS_2019M02,"International Financial Statistics (IFS), 2019 M02"
HPDD,Historical Public Debt (HPDD)
IFS_2018M03,"International Financial Statistics (IFS), 2018 M03"
GFSMAB2015,"Government Finance Statistics Yearbook (GFSY 2015), Main Aggregates and Balances"
IFS_2018M08,"International Financial Statistics (IFS), 2018 M08"
DOT_2017Q2,"Direction of Trade Statistics (DOTS), 2017 Q2"
BOP_2018M06,"Balance of Payments (BOP), 2018 M06"
BOP_2019M10,"Balance of Payments (BOP), 2019 M10"
GFSIBS2017,"Government Finance Statistics Yearbook (GFSY 2017), Integrated Balance Sheet (Stock Positions and Flows in Assets and Liabilities)"
AFRREO201704,Sub-Saharan Africa Regional Economic Outlook (AFRREO) April 2017
RAFIT2AGG,Revenue Administration Fiscal Information Tool (RA-FIT) Round 2 Aggregates
FM201704,Fiscal Monitor (FM) April 2017
BOP_2018M10,"Balance of Payments (BOP), 2018 M10"
WHDREO201604,Western Hemisphere Regional Economic Outlook (WHDREO) April 2016
AFRREO202004,Sub-Saharan Africa Regional Economic Outlook (AFRREO) April 2020
FM201804,Fiscal Monitor (FM) April 2018
