freq,ref_area,indicator,unit_mult,time_format,time_period,obs_value
A,GA,LP_PE_NUM,3,P1Y,1950,473.296
A,GA,LP_PE_NUM,3,P1Y,1951,476.381
A,GA,LP_PE_NUM,3,P1Y,1952,478.655
A,GA,LP_PE_NUM,3,P1Y,1953,480.536
A,GA,LP_PE_NUM,3,P1Y,1954,482.332
A,GA,LP_PE_NUM,3,P1Y,1955,484.308
A,GA,LP_PE_NUM,3,P1Y,1956,486.64
A,GA,LP_PE_NUM,3,P1Y,1957,489.439
A,GA,LP_PE_NUM,3,P1Y,1958,492.758
A,GA,LP_PE_NUM,3,P1Y,1959,496.591
A,GA,LP_PE_NUM,3,P1Y,1960,500.922
A,GA,LP_PE_NUM,3,P1Y,1961,505.793
A,GA,LP_PE_NUM,3,P1Y,1962,511.285
A,GA,LP_PE_NUM,3,P1Y,1963,517.573
A,GA,LP_PE_NUM,3,P1Y,1964,524.891
A,GA,LP_PE_NUM,3,P1Y,1965,533.357
A,GA,LP_PE_NUM,3,P1Y,1966,543.119
A,GA,LP_PE_NUM,3,P1Y,1967,554.054
A,GA,LP_PE_NUM,3,P1Y,1968,565.763
A,GA,LP_PE_NUM,3,P1Y,1969,577.644
A,GA,LP_PE_NUM,3,P1Y,1970,589.317
A,GA,LP_PE_NUM,3,P1Y,1971,600.608
A,GA,LP_PE_NUM,3,P1Y,1972,611.705
A,GA,LP_PE_NUM,3,P1Y,1973,622.914
A,GA,LP_PE_NUM,3,P1Y,1974,634.739
A,GA,LP_PE_NUM,3,P1Y,1975,647.538
A,GA,LP_PE_NUM,3,P1Y,1976,661.398
A,GA,LP_PE_NUM,3,P1Y,1977,676.264
A,GA,LP_PE_NUM,3,P1Y,1978,692.078
A,GA,LP_PE_NUM,3,P1Y,1979,708.788
A,GA,LP_PE_NUM,3,P1Y,1980,726.335
A,GA,LP_PE_NUM,3,P1Y,1981,744.695
A,GA,LP_PE_NUM,3,P1Y,1982,763.932
A,GA,LP_PE_NUM,3,P1Y,1983,784.056
A,GA,LP_PE_NUM,3,P1Y,1984,805.117
A,GA,LP_PE_NUM,3,P1Y,1985,827.107
A,GA,LP_PE_NUM,3,P1Y,1986,850.052
A,GA,LP_PE_NUM,3,P1Y,1987,873.871
A,GA,LP_PE_NUM,3,P1Y,1988,898.472
A,GA,LP_PE_NUM,3,P1Y,1989,923.714
A,GA,LP_PE_NUM,3,P1Y,1990,949.493
A,GA,LP_PE_NUM,3,P1Y,1991,975.785
A,GA,LP_PE_NUM,3,P1Y,1992,1002.573
A,GA,LP_PE_NUM,3,P1Y,1993,1029.769
A,GA,LP_PE_NUM,3,P1Y,1994,1057.252
A,GA,LP_PE_NUM,3,P1Y,1995,1084.951
A,GA,LP_PE_NUM,3,P1Y,1996,1112.944
A,GA,LP_PE_NUM,3,P1Y,1997,1141.332
A,GA,LP_PE_NUM,3,P1Y,1998,1170.061
