freq,ref_area,indicator,unit_mult,time_format,time_period,obs_value
A,AF,GE_GII,0,P1Y,1990,0.828244090080261
A,AF,GE_GII,0,P1Y,1991,0.817706346511841
A,AF,GE_GII,0,P1Y,1992,0.809805750846863
A,AF,GE_GII,0,P1Y,1993,0.803077876567841
A,AF,GE_GII,0,P1Y,1994,0.797028481960297
A,AF,GE_GII,0,P1Y,1995,0.792113184928894
A,AF,GE_GII,0,P1Y,1996,0.787812292575836
A,AF,GE_GII,0,P1Y,1997,0.783993065357208
A,AF,GE_GII,0,P1Y,1998,0.77972936630249
A,AF,GE_GII,0,P1Y,1999,0.775405287742615
A,AF,GE_GII,0,P1Y,2000,0.772051453590393
A,AF,GE_GII,0,P1Y,2001,0.767977297306061
A,AF,GE_GII,0,P1Y,2002,0.76180237531662
A,AF,GE_GII,0,P1Y,2003,0.753782153129578
A,AF,GE_GII,0,P1Y,2004,0.745357573032379
A,AF,GE_GII,0,P1Y,2005,0.735925018787384
A,AF,GE_GII,0,P1Y,2006,0.732496917247772
A,AF,GE_GII,0,P1Y,2007,0.727537035942078
A,AF,GE_GII,0,P1Y,2008,0.722909450531006
A,AF,GE_GII,0,P1Y,2009,0.718444526195526
A,AF,GE_GII,0,P1Y,2010,0.71152800321579
A,AF,GE_GII,0,P1Y,2011,0.704575777053833
A,AF,GE_GII,0,P1Y,2012,0.697546064853668
A,AF,GE_GII,0,P1Y,2013,0.691267609596252
A,AL,GE_GII,0,P1Y,1990,0.304178923368454
A,AL,GE_GII,0,P1Y,1991,0.306627571582794
A,AL,GE_GII,0,P1Y,1992,0.310515135526657
A,AL,GE_GII,0,P1Y,1993,0.315709918737412
A,AL,GE_GII,0,P1Y,1994,0.321966081857681
A,AL,GE_GII,0,P1Y,1995,0.329664468765259
A,AL,GE_GII,0,P1Y,1996,0.340119659900665
A,AL,GE_GII,0,P1Y,1997,0.352817744016647
A,AL,GE_GII,0,P1Y,1998,0.368949770927429
A,AL,GE_GII,0,P1Y,1999,0.393370658159256
A,AL,GE_GII,0,P1Y,2000,0.390317291021347
A,AL,GE_GII,0,P1Y,2001,0.378365069627762
A,AL,GE_GII,0,P1Y,2002,0.372151553630829
A,AL,GE_GII,0,P1Y,2003,0.363880753517151
A,AL,GE_GII,0,P1Y,2004,0.347002446651459
A,AL,GE_GII,0,P1Y,2005,0.330550044775009
A,AL,GE_GII,0,P1Y,2006,0.322004944086075
A,AL,GE_GII,0,P1Y,2007,0.312857449054718
A,AL,GE_GII,0,P1Y,2008,0.308194667100906
A,AL,GE_GII,0,P1Y,2009,0.246237531304359
A,AL,GE_GII,0,P1Y,2010,0.24087692797184
A,AL,GE_GII,0,P1Y,2011,0.24013090133667
A,AL,GE_GII,0,P1Y,2012,0.236439630389214
A,AL,GE_GII,0,P1Y,2013,0.22340701520443
A,DZ,GE_GII,0,P1Y,1990,0.705101132392883
A,DZ,GE_GII,0,P1Y,1991,0.696064889431
A,DZ,GE_GII,0,P1Y,1992,0.68686455488205
A,DZ,GE_GII,0,P1Y,1993,0.677171289920807
A,DZ,GE_GII,0,P1Y,1994,0.667237997055054
A,DZ,GE_GII,0,P1Y,1995,0.65596079826355
A,DZ,GE_GII,0,P1Y,1996,0.644212961196899
A,DZ,GE_GII,0,P1Y,1997,0.632497489452362
A,DZ,GE_GII,0,P1Y,1998,0.624979794025421
A,DZ,GE_GII,0,P1Y,1999,0.617097139358521
A,DZ,GE_GII,0,P1Y,2000,0.604949057102203
A,DZ,GE_GII,0,P1Y,2001,0.594988226890564
A,DZ,GE_GII,0,P1Y,2002,0.550585806369781
A,DZ,GE_GII,0,P1Y,2003,0.544245183467865
A,DZ,GE_GII,0,P1Y,2004,0.537970721721649
A,DZ,GE_GII,0,P1Y,2005,0.530892908573151
A,DZ,GE_GII,0,P1Y,2006,0.52456271648407
A,DZ,GE_GII,0,P1Y,2007,0.504988253116608
A,DZ,GE_GII,0,P1Y,2008,0.498644649982452
A,DZ,GE_GII,0,P1Y,2009,0.492455959320068
A,DZ,GE_GII,0,P1Y,2010,0.489282429218292
A,DZ,GE_GII,0,P1Y,2011,0.48585718870163
A,DZ,GE_GII,0,P1Y,2012,0.402576148509979
A,DZ,GE_GII,0,P1Y,2013,0.397728025913239
A,AR,GE_GII,0,P1Y,1990,0.515612721443176
A,AR,GE_GII,0,P1Y,1991,0.491696000099182
A,AR,GE_GII,0,P1Y,1992,0.473582029342651
A,AR,GE_GII,0,P1Y,1993,0.457045435905457
A,AR,GE_GII,0,P1Y,1994,0.442913085222244
A,AR,GE_GII,0,P1Y,1995,0.429041147232056
A,AR,GE_GII,0,P1Y,1996,0.420271515846252
A,AR,GE_GII,0,P1Y,1997,0.412631422281265
A,AR,GE_GII,0,P1Y,1998,0.410048395395279
A,AR,GE_GII,0,P1Y,1999,0.408669769763947
A,AR,GE_GII,0,P1Y,2000,0.407265156507492
A,AR,GE_GII,0,P1Y,2001,0.400430232286453
A,AR,GE_GII,0,P1Y,2002,0.39398193359375
A,AR,GE_GII,0,P1Y,2003,0.39268434047699
A,AR,GE_GII,0,P1Y,2004,0.384086102247238
A,AR,GE_GII,0,P1Y,2005,0.380790382623672
A,AR,GE_GII,0,P1Y,2006,0.383600383996964
A,AR,GE_GII,0,P1Y,2007,0.375883489847183
A,AR,GE_GII,0,P1Y,2008,0.376159191131592
A,AR,GE_GII,0,P1Y,2009,0.378283441066742
A,AR,GE_GII,0,P1Y,2010,0.382439285516739
A,AR,GE_GII,0,P1Y,2011,0.380697160959244
A,AR,GE_GII,0,P1Y,2012,0.377508014440537
A,AR,GE_GII,0,P1Y,2013,0.374633461236954
A,AM,GE_GII,0,P1Y,1990,0.35692623257637
A,AM,GE_GII,0,P1Y,1991,0.368211507797241
A,AM,GE_GII,0,P1Y,1992,0.379360854625702
A,AM,GE_GII,0,P1Y,1993,0.383876234292984
A,AM,GE_GII,0,P1Y,1994,0.390477776527405
A,AM,GE_GII,0,P1Y,1995,0.399515360593796
A,AM,GE_GII,0,P1Y,1996,0.409590154886246
A,AM,GE_GII,0,P1Y,1997,0.429696470499039
A,AM,GE_GII,0,P1Y,1998,0.422465473413467
A,AM,GE_GII,0,P1Y,1999,0.458955496549606
A,AM,GE_GII,0,P1Y,2000,0.451124161481857
A,AM,GE_GII,0,P1Y,2001,0.443338662385941
A,AM,GE_GII,0,P1Y,2002,0.435834318399429
A,AM,GE_GII,0,P1Y,2003,0.40660548210144
A,AM,GE_GII,0,P1Y,2004,0.393633097410202
A,AM,GE_GII,0,P1Y,2005,0.389915555715561
A,AM,GE_GII,0,P1Y,2006,0.386249989271164
A,AM,GE_GII,0,P1Y,2007,0.346597105264664
A,AM,GE_GII,0,P1Y,2008,0.351142406463623
A,AM,GE_GII,0,P1Y,2009,0.338587731122971
A,AM,GE_GII,0,P1Y,2010,0.337922930717468
A,AM,GE_GII,0,P1Y,2011,0.337499380111694
A,AM,GE_GII,0,P1Y,2012,0.319000661373138
A,AM,GE_GII,0,P1Y,2013,0.316623091697693
A,AU,GE_GII,0,P1Y,1990,0.266064018011093
A,AU,GE_GII,0,P1Y,1991,0.251852691173553
A,AU,GE_GII,0,P1Y,1992,0.240082710981369
A,AU,GE_GII,0,P1Y,1993,0.228845298290253
A,AU,GE_GII,0,P1Y,1994,0.217742934823036
A,AU,GE_GII,0,P1Y,1995,0.207608491182327
A,AU,GE_GII,0,P1Y,1996,0.199126094579697
A,AU,GE_GII,0,P1Y,1997,0.191226840019226
A,AU,GE_GII,0,P1Y,1998,0.188862308859825
A,AU,GE_GII,0,P1Y,1999,0.162970915436745
A,AU,GE_GII,0,P1Y,2000,0.158202767372131
A,AU,GE_GII,0,P1Y,2001,0.152314960956573
A,AU,GE_GII,0,P1Y,2002,0.147115811705589
A,AU,GE_GII,0,P1Y,2003,0.145487785339355
A,AU,GE_GII,0,P1Y,2004,0.146545171737671
A,AU,GE_GII,0,P1Y,2005,0.14493802189827
A,AU,GE_GII,0,P1Y,2006,0.143488243222237
A,AU,GE_GII,0,P1Y,2007,0.137786626815796
A,AU,GE_GII,0,P1Y,2008,0.133673593401909
A,AU,GE_GII,0,P1Y,2009,0.128163650631905
A,AU,GE_GII,0,P1Y,2010,0.130014449357986
A,AU,GE_GII,0,P1Y,2011,0.125805765390396
A,AU,GE_GII,0,P1Y,2012,0.121481776237488
A,AU,GE_GII,0,P1Y,2013,0.11490636318922
A,AT,GE_GII,0,P1Y,1990,0.254929751157761
A,AT,GE_GII,0,P1Y,1991,0.240367084741592
A,AT,GE_GII,0,P1Y,1992,0.226039350032806
A,AT,GE_GII,0,P1Y,1993,0.211108654737473
A,AT,GE_GII,0,P1Y,1994,0.194463297724724
A,AT,GE_GII,0,P1Y,1995,0.18224161863327
A,AT,GE_GII,0,P1Y,1996,0.170280709862709
A,AT,GE_GII,0,P1Y,1997,0.158378183841705
A,AT,GE_GII,0,P1Y,1998,0.156024679541588
A,AT,GE_GII,0,P1Y,1999,0.152930065989494
A,AT,GE_GII,0,P1Y,2000,0.149946644902229
A,AT,GE_GII,0,P1Y,2001,0.146902054548264
A,AT,GE_GII,0,P1Y,2002,0.135427728295326
A,AT,GE_GII,0,P1Y,2003,0.125101432204247
A,AT,GE_GII,0,P1Y,2004,0.121218092739582
A,AT,GE_GII,0,P1Y,2005,0.117913782596588
A,AT,GE_GII,0,P1Y,2006,0.117548361420631
A,AT,GE_GII,0,P1Y,2007,0.113835461437702
A,AT,GE_GII,0,P1Y,2008,0.115226812660694
A,AT,GE_GII,0,P1Y,2009,0.103010602295399
A,AT,GE_GII,0,P1Y,2010,0.0921031609177589
A,AT,GE_GII,0,P1Y,2011,0.0797583237290382
A,AT,GE_GII,0,P1Y,2012,0.0650228634476662
A,AT,GE_GII,0,P1Y,2013,0.0466417111456394
A,BH,GE_GII,0,P1Y,2003,0.612088441848755
A,BH,GE_GII,0,P1Y,2004,0.603408813476563
A,BH,GE_GII,0,P1Y,2005,0.594581604003906
A,BH,GE_GII,0,P1Y,2006,0.386610329151154
A,BH,GE_GII,0,P1Y,2007,0.388182133436203
A,BH,GE_GII,0,P1Y,2008,0.390385031700134
A,BH,GE_GII,0,P1Y,2009,0.392490386962891
A,BH,GE_GII,0,P1Y,2010,0.39403972029686
A,BH,GE_GII,0,P1Y,2011,0.296516716480255
A,BH,GE_GII,0,P1Y,2012,0.293355107307434
A,BH,GE_GII,0,P1Y,2013,0.290531575679779
A,BD,GE_GII,0,P1Y,1990,0.669048428535461
A,BD,GE_GII,0,P1Y,1991,0.663929641246796
A,BD,GE_GII,0,P1Y,1992,0.659815549850464
A,BD,GE_GII,0,P1Y,1993,0.655436336994171
A,BD,GE_GII,0,P1Y,1994,0.651039958000183
A,BD,GE_GII,0,P1Y,1995,0.646635115146637
A,BD,GE_GII,0,P1Y,1996,0.642277836799622
A,BD,GE_GII,0,P1Y,1997,0.637746453285217
A,BD,GE_GII,0,P1Y,1998,0.632458508014679
A,BD,GE_GII,0,P1Y,1999,0.626941204071045
A,BD,GE_GII,0,P1Y,2000,0.621224343776703
A,BD,GE_GII,0,P1Y,2001,0.638311624526978
A,BD,GE_GII,0,P1Y,2002,0.678421258926392
A,BD,GE_GII,0,P1Y,2003,0.67320054769516
A,BD,GE_GII,0,P1Y,2004,0.667829811573029
A,BD,GE_GII,0,P1Y,2005,0.566048443317413
A,BD,GE_GII,0,P1Y,2006,0.557869136333466
A,BD,GE_GII,0,P1Y,2007,0.568105697631836
A,BD,GE_GII,0,P1Y,2008,0.588932693004608
A,BD,GE_GII,0,P1Y,2009,0.527688324451447
A,BD,GE_GII,0,P1Y,2010,0.521230638027191
A,BD,GE_GII,0,P1Y,2011,0.513243794441223
A,BD,GE_GII,0,P1Y,2012,0.508119821548462
A,BD,GE_GII,0,P1Y,2013,0.503249287605286
A,BB,GE_GII,0,P1Y,1990,0.530696749687195
A,BB,GE_GII,0,P1Y,1991,0.508144736289978
A,BB,GE_GII,0,P1Y,1992,0.487303823232651
A,BB,GE_GII,0,P1Y,1993,0.461423337459564
A,BB,GE_GII,0,P1Y,1994,0.432333379983902
A,BB,GE_GII,0,P1Y,1995,0.396813809871674
A,BB,GE_GII,0,P1Y,1996,0.38735094666481
A,BB,GE_GII,0,P1Y,1997,0.383475512266159
A,BB,GE_GII,0,P1Y,1998,0.384607315063477
A,BB,GE_GII,0,P1Y,1999,0.386206239461899
A,BB,GE_GII,0,P1Y,2000,0.38735431432724
A,BB,GE_GII,0,P1Y,2001,0.382483124732971
A,BB,GE_GII,0,P1Y,2002,0.37845903635025
A,BB,GE_GII,0,P1Y,2003,0.359186410903931
A,BB,GE_GII,0,P1Y,2004,0.354088217020035
A,BB,GE_GII,0,P1Y,2005,0.348510473966599
A,BB,GE_GII,0,P1Y,2006,0.367814898490906
A,BB,GE_GII,0,P1Y,2007,0.382982969284058
A,BB,GE_GII,0,P1Y,2008,0.412252902984619
A,BB,GE_GII,0,P1Y,2009,0.422810792922974
A,BB,GE_GII,0,P1Y,2010,0.431667178869247
A,BB,GE_GII,0,P1Y,2011,0.421781539916992
A,BB,GE_GII,0,P1Y,2012,0.410326898097992
A,BB,GE_GII,0,P1Y,2013,0.365811407566071
A,BE,GE_GII,0,P1Y,1990,0.217212587594986
A,BE,GE_GII,0,P1Y,1991,0.208651527762413
A,BE,GE_GII,0,P1Y,1992,0.200879007577896
A,BE,GE_GII,0,P1Y,1993,0.193189412355423
A,BE,GE_GII,0,P1Y,1994,0.187742859125137
A,BE,GE_GII,0,P1Y,1995,0.182143345475197
A,BE,GE_GII,0,P1Y,1996,0.177123785018921
A,BE,GE_GII,0,P1Y,1997,0.171157032251358
A,BE,GE_GII,0,P1Y,1998,0.170404449105263
A,BE,GE_GII,0,P1Y,1999,0.129499584436417
A,BE,GE_GII,0,P1Y,2000,0.129519313573837
A,BE,GE_GII,0,P1Y,2001,0.132424294948578
A,BE,GE_GII,0,P1Y,2002,0.131369933485985
A,BE,GE_GII,0,P1Y,2003,0.105499729514122
A,BE,GE_GII,0,P1Y,2004,0.104662962257862
A,BE,GE_GII,0,P1Y,2005,0.103139623999596
A,BE,GE_GII,0,P1Y,2006,0.101736448705196
A,BE,GE_GII,0,P1Y,2007,0.0994527041912079
A,BE,GE_GII,0,P1Y,2008,0.0942759290337563
A,BE,GE_GII,0,P1Y,2009,0.0854430198669434
A,BE,GE_GII,0,P1Y,2010,0.0784794464707375
A,BE,GE_GII,0,P1Y,2011,0.074675016105175
A,BE,GE_GII,0,P1Y,2012,0.0689479112625122
A,BE,GE_GII,0,P1Y,2013,0.0656893104314804
A,BZ,GE_GII,0,P1Y,1990,0.754781424999237
A,BZ,GE_GII,0,P1Y,1991,0.684049308300018
A,BZ,GE_GII,0,P1Y,1992,0.643919408321381
A,BZ,GE_GII,0,P1Y,1993,0.614268004894257
A,BZ,GE_GII,0,P1Y,1994,0.588401079177856
A,BZ,GE_GII,0,P1Y,1995,0.56426340341568
A,BZ,GE_GII,0,P1Y,1996,0.575471043586731
A,BZ,GE_GII,0,P1Y,1997,0.578562378883362
A,BZ,GE_GII,0,P1Y,1998,0.586730599403381
A,BZ,GE_GII,0,P1Y,1999,0.556385457515717
A,BZ,GE_GII,0,P1Y,2000,0.561065495014191
A,BZ,GE_GII,0,P1Y,2001,0.553122222423553
A,BZ,GE_GII,0,P1Y,2002,0.54485946893692
A,BZ,GE_GII,0,P1Y,2003,0.575455605983734
A,BZ,GE_GII,0,P1Y,2004,0.529471516609192
A,BZ,GE_GII,0,P1Y,2005,0.520522654056549
A,BZ,GE_GII,0,P1Y,2006,0.514168560504913
A,BZ,GE_GII,0,P1Y,2007,0.546830475330353
A,BZ,GE_GII,0,P1Y,2008,0.715110421180725
A,BZ,GE_GII,0,P1Y,2009,0.711414456367493
A,BZ,GE_GII,0,P1Y,2010,0.7073774933815
A,BZ,GE_GII,0,P1Y,2011,0.702678203582764
A,BZ,GE_GII,0,P1Y,2012,0.51885598897934
A,BZ,GE_GII,0,P1Y,2013,0.510858178138733
A,BJ,GE_GII,0,P1Y,1990,0.732323706150055
A,BJ,GE_GII,0,P1Y,1991,0.722548723220825
A,BJ,GE_GII,0,P1Y,1992,0.713669657707214
A,BJ,GE_GII,0,P1Y,1993,0.704215705394745
A,BJ,GE_GII,0,P1Y,1994,0.695214986801147
A,BJ,GE_GII,0,P1Y,1995,0.68676370382309
A,BJ,GE_GII,0,P1Y,1996,0.679276883602142
A,BJ,GE_GII,0,P1Y,1997,0.672148883342743
A,BJ,GE_GII,0,P1Y,1998,0.668661177158356
A,BJ,GE_GII,0,P1Y,1999,0.673306167125702
A,BJ,GE_GII,0,P1Y,2000,0.669890761375427
A,BJ,GE_GII,0,P1Y,2001,0.666309952735901
A,BJ,GE_GII,0,P1Y,2002,0.662689924240112
A,BJ,GE_GII,0,P1Y,2003,0.659763634204865
A,BJ,GE_GII,0,P1Y,2004,0.648512482643127
A,BJ,GE_GII,0,P1Y,2005,0.645446300506592
A,BJ,GE_GII,0,P1Y,2006,0.642885088920593
A,BJ,GE_GII,0,P1Y,2007,0.620693564414978
A,BJ,GE_GII,0,P1Y,2008,0.617446899414063
A,BJ,GE_GII,0,P1Y,2009,0.614037692546844
A,BJ,GE_GII,0,P1Y,2010,0.610446631908417
A,BJ,GE_GII,0,P1Y,2011,0.619612097740173
A,BJ,GE_GII,0,P1Y,2012,0.616157054901123
A,BJ,GE_GII,0,P1Y,2013,0.612919628620148
A,BO,GE_GII,0,P1Y,1990,0.62900722026825
A,BO,GE_GII,0,P1Y,1991,0.624394357204437
A,BO,GE_GII,0,P1Y,1992,0.619617342948914
A,BO,GE_GII,0,P1Y,1993,0.614622235298157
A,BO,GE_GII,0,P1Y,1994,0.609555661678314
A,BO,GE_GII,0,P1Y,1995,0.604294002056122
A,BO,GE_GII,0,P1Y,1996,0.59818309545517
A,BO,GE_GII,0,P1Y,1997,0.591993808746338
A,BO,GE_GII,0,P1Y,1998,0.587973177433014
A,BO,GE_GII,0,P1Y,1999,0.583729565143585
A,BO,GE_GII,0,P1Y,2000,0.580337762832642
A,BO,GE_GII,0,P1Y,2001,0.576775729656219
A,BO,GE_GII,0,P1Y,2002,0.548934757709503
A,BO,GE_GII,0,P1Y,2003,0.54455953836441
A,BO,GE_GII,0,P1Y,2004,0.538087844848633
A,BO,GE_GII,0,P1Y,2005,0.539964973926544
A,BO,GE_GII,0,P1Y,2006,0.536374151706696
A,BO,GE_GII,0,P1Y,2007,0.532206952571869
A,BO,GE_GII,0,P1Y,2008,0.528517961502075
A,BO,GE_GII,0,P1Y,2009,0.509660720825195
A,BO,GE_GII,0,P1Y,2010,0.498457491397858
A,BO,GE_GII,0,P1Y,2011,0.494124859571457
A,BO,GE_GII,0,P1Y,2012,0.489609003067017
A,BO,GE_GII,0,P1Y,2013,0.485168546438217
A,BW,GE_GII,0,P1Y,1990,0.617917358875275
A,BW,GE_GII,0,P1Y,1991,0.607821404933929
A,BW,GE_GII,0,P1Y,1992,0.597571909427643
A,BW,GE_GII,0,P1Y,1993,0.591142177581787
A,BW,GE_GII,0,P1Y,1994,0.584825873374939
A,BW,GE_GII,0,P1Y,1995,0.578795492649078
A,BW,GE_GII,0,P1Y,1996,0.573919892311096
A,BW,GE_GII,0,P1Y,1997,0.569203615188599
A,BW,GE_GII,0,P1Y,1998,0.567558526992798
A,BW,GE_GII,0,P1Y,1999,0.545986533164978
A,BW,GE_GII,0,P1Y,2000,0.529975473880768
A,BW,GE_GII,0,P1Y,2001,0.525877058506012
A,BW,GE_GII,0,P1Y,2002,0.521682381629944
A,BW,GE_GII,0,P1Y,2003,0.517944276332855
A,BW,GE_GII,0,P1Y,2004,0.535687923431396
A,BW,GE_GII,0,P1Y,2005,0.531873941421509
A,BW,GE_GII,0,P1Y,2006,0.524823009967804
A,BW,GE_GII,0,P1Y,2007,0.517158508300781
A,BW,GE_GII,0,P1Y,2008,0.509184181690216
