freq,ref_area,indicator,unit_mult,time_format,time_period,obs_value
A,NE,NGDP_XDC,6,P1Y,2005,2418864
A,NE,NGDP_XDC,6,P1Y,2006,2596972
A,NE,NGDP_XDC,6,P1Y,2007,2762961
A,NE,NGDP_XDC,6,P1Y,2008,3247835
A,NE,NGDP_XDC,6,P1Y,2009,3403683
A,NE,NGDP_XDC,6,P1Y,2010,3779678
A,NE,NGDP_XDC,6,P1Y,2011,4058432
A,NE,NGDP_XDC,6,P1Y,2012,4679848
A,NE,NGDP_XDC,6,P1Y,2013,5013245
A,NE,NGDP_XDC,6,P1Y,2014,5377790
A,NE,NGDP_XDC,6,P1Y,2015,5725216
A,NE,NGDP_XDC,6,P1Y,2016,6162425
A,NE,NGDP_XDC,6,P1Y,2017,6494707.27090563
A,NE,NGDP_XDC,6,P1Y,2018,7114526.29687986
A,NE,NGDP_XDC,6,P1Y,2019,7567896.2637647
A,NE,NGDP_XDC,6,P1Y,2020,7910954.53313294
A,NE,NGDP_XDC,6,P1Y,2021,8270826.12406453
A,NE,NGDP_XDC,6,P1Y,2022,9615146.87171543
A,KM,NGDP_XDC,6,P1Y,2007,285627
A,KM,NGDP_XDC,6,P1Y,2008,306288
A,KM,NGDP_XDC,6,P1Y,2009,319332
A,KM,NGDP_XDC,6,P1Y,2010,336947
A,KM,NGDP_XDC,6,P1Y,2011,361596
A,KM,NGDP_XDC,6,P1Y,2012,388984
A,KM,NGDP_XDC,6,P1Y,2013,413477
A,KM,NGDP_XDC,6,P1Y,2014,425713
A,KM,NGDP_XDC,6,P1Y,2015,428346
A,KM,NGDP_XDC,6,P1Y,2016,450159
A,KM,NGDP_XDC,6,P1Y,2017,469217
A,KM,NGDP_XDC,6,P1Y,2018,495235
A,KM,NGDP_XDC,6,P1Y,2019,525167
A,KM,NGDP_XDC,6,P1Y,2020,527650
A,KM,NGDP_XDC,6,P1Y,2021,540343
A,KM,NGDP_XDC,6,P1Y,2022,605041
A,KM,NGDP_XDC,6,P1Y,2023,641282.204279182
A,ZW,NGDP_XDC,6,P1Y,2017,64016.9794874598
A,ZW,NGDP_XDC,6,P1Y,2018,69613.4860506526
A,ZW,NGDP_XDC,6,P1Y,2019,212174.391857959
A,ZW,NGDP_XDC,6,P1Y,2020,1378795.32853527
A,ZW,NGDP_XDC,6,P1Y,2021,3189937.24213969
A,ZW,NGDP_XDC,6,P1Y,2022,12428157.2612485
A,FI,NGDP_XDC,6,P1Y,1980,33660
A,FI,NGDP_XDC,6,P1Y,1981,38061
A,FI,NGDP_XDC,6,P1Y,1982,42792
A,FI,NGDP_XDC,6,P1Y,1983,47736
A,FI,NGDP_XDC,6,P1Y,1984,53442
A,FI,NGDP_XDC,6,P1Y,1985,58225
A,FI,NGDP_XDC,6,P1Y,1986,62676
A,FI,NGDP_XDC,6,P1Y,1987,67694
A,FI,NGDP_XDC,6,P1Y,1988,76709
A,FI,NGDP_XDC,6,P1Y,1989,85876
A,FI,NGDP_XDC,6,P1Y,1990,90964
A,FI,NGDP_XDC,6,P1Y,1991,86913
A,FI,NGDP_XDC,6,P1Y,1992,84786
A,FI,NGDP_XDC,6,P1Y,1993,85610
A,FI,NGDP_XDC,6,P1Y,1994,90646
A,FI,NGDP_XDC,6,P1Y,1995,98454
A,FI,NGDP_XDC,6,P1Y,1996,101977
A,FI,NGDP_XDC,6,P1Y,1997,110764
A,FI,NGDP_XDC,6,P1Y,1998,120431
A,FI,NGDP_XDC,6,P1Y,1999,126888
A,FI,NGDP_XDC,6,P1Y,2000,136386
A,FI,NGDP_XDC,6,P1Y,2001,144613
A,FI,NGDP_XDC,6,P1Y,2002,148440
A,FI,NGDP_XDC,6,P1Y,2003,151714
A,FI,NGDP_XDC,6,P1Y,2004,158741
A,FI,NGDP_XDC,6,P1Y,2005,164666
A,FI,NGDP_XDC,6,P1Y,2006,172861
A,FI,NGDP_XDC,6,P1Y,2007,187059
A,FI,NGDP_XDC,6,P1Y,2008,194253
